Grade Curricular - 1 - ADMINISTRA??O (BACHARELADO) - 2021-1 | Prazo Min. 8 - Prazo Max. 18,,,,,,,,,,,,,
Série, Cód. Disc., Descrição, Hor. Aula, Hor. Relógio., C.H. Prática (aula), C.H. Teórica (aula), (EAD?), C.H. Prática (relógio), C.H. Teórica (relógio), (EAD?), Qtd. Aula, % Online, Tipo Disciplina
1,24051,COMUNICAÇÃO,60, ,-,-,-,-,-,-,3, ,Normal
1,24076,INTRODUÇÃO À ECONOMIA,60, ,-,-,-,-,-,-,3, ,Normal
1,24237,METODOLOGIA DE PESQUISA , ,80,-,-,-,-,-,-,4,100,Normal
1,24078,NEGÓCIOS E INOVAÇÃO,60, ,-,-,-,-,-,-,3, ,Normal
1,24246,PROBABILIDADE E ESTATÍSTICA , ,80,-,-,-,-,-,-,4,100,Normal
1,24194,TEORIA DAS ORGANIZAÇÕES,60, ,-,-,-,-,-,-,3, ,Normal
2,24170,ANÁLISE E APLICAÇÕES MATEMÁTICAS,60, ,-,-,-,-,-,-,3, ,Normal
2,24201,FUNDAMENTOS DE CONTABILIDADE,60, ,-,-,-,-,-,-,3, ,Normal
2,24223,GESTÃO ESTRATÉGICA DE CUSTOS , ,40,-,-,-,-,-,-,2,100,Normal
2,24233,MATEMÁTICA APLICADA , ,80,-,-,-,-,-,-,4,100,Normal
2,24221,MATEMÁTICA FINANCEIRA,60, ,-,-,-,-,-,-,3, ,Normal
2,24241,MERCADOS FINANCEIROS E DE CAPITAIS,60, ,-,-,-,-,-,-,3, ,Normal
3,24174,ANÁLISES ESTATÍSTICAS APLICADAS AOS NEGÓCIOS,60, ,-,-,-,-,-,-,3, ,Normal
3,24218,GESTÃO AMBIENTAL E RESPONSABILIDADE SOCIAL , ,80,-,-,-,-,-,-,4,100,Normal
3,24158,GESTÃO DE PESSOAS,60, ,-,-,-,-,-,-,3, ,Normal
3,24159,ORGANIZAÇÕES E SUSTENTABILIDADE,60, ,-,-,-,-,-,-,3, ,Normal
3,24124,PESQUISA APLICADA E MEIO AMBIENTE,60, ,-,-,-,-,-,-,3, ,Normal
3,24248,PSICOLOGIA DO TRABALHO , ,80,-,-,-,-,-,-,4,100,Normal
4,24207,DEMONSTRAÇÕES FINANCEIRAS BÁSICAS , ,80,-,-,-,-,-,-,4,100,Normal
4,24215,ÉTICA GERAL E CIDADANIA , ,40,-,-,-,-,-,-,2,100,Normal
4,24217,MACROECONOMIA E CONTABILIDADE SOCIAL,60, ,-,-,-,-,-,-,3, ,Normal
4,24180,NEGÓCIOS INTERNACIONAIS,60, ,-,-,-,-,-,-,3, ,Normal
4,24130,PESQUISA E SOCIEDADE,60, ,-,-,-,-,-,-,3, ,Normal
4,24192,SOCIOLOGIA,60, ,-,-,-,-,-,-,3, ,Normal
5,24204,COMPORTAMENTO DO CONSUMIDOR , ,40,-,-,-,-,-,-,2,100,Normal
5,24157,ESTRATÉGIA ORGANIZACIONAL,60, ,-,-,-,-,-,-,3, ,Normal
5,24227,MARKETING E COMÉRCIO ELETRÔNICO , ,80,-,-,-,-,-,-,4,100,Normal
5,24150,MARKETING ESTRATÉGICO,60, ,-,-,-,-,-,-,3, ,Normal
5,24123,PROJETO DE INOVAÇÃO,60, ,-,-,-,-,-,-,3, ,Normal
5,24214,TECNOLOGIAS APLICADAS AOS NEGÓCIOS,60, ,-,-,-,-,-,-,3, ,Normal
6,24134,ADMINISTRAÇÃO DA PRODUÇÃO , ,80,-,-,-,-,-,-,4,100,Normal
6,24199,BUSINESS INTELLIGENCE , ,40,-,-,-,-,-,-,2,100,Normal
6,24184,CADEIA DE SUPRIMENTOS E LOGÍSTICA,60, ,-,-,-,-,-,-,3, ,Normal
6,24118,EMPREENDEDORISMO , ,80,-,-,-,-,-,-,4,100,Normal
6,24208,GESTÃO DE OPERAÇÕES E CUSTOS,60, ,-,-,-,-,-,-,3, ,Normal
6,24418,GESTÃO DE PROJETOS,60, ,-,-,-,-,-,-,3, ,Normal
6,24129,PROJETO EMPREENDEDOR,60, ,-,-,-,-,-,-,3, ,Normal
7,28330,APLICAÇÕES EM NEGÓCIOS,60, ,-,-,-,-,-,-,3, ,Normal
7,24247,ESTÁGIO CURRICULAR SUPERVISIONADO EM ADMINISTRAÇÃO I, ,80,-,-,-,-,-,-,4, ,Estágio (Prática)
7,24197,FINANÇAS CORPORATIVAS,60, ,-,-,-,-,-,-,3, ,Normal
7,24254,OPTATIVA , ,160,-,-,-,-,-,-,8,100,Optativa
7,28334,PROJETOS INTERDISCIPLINARES: APLICAÇÕES EM NEGÓCIOS, ,80,-,-,-,-,-,-,4, ,Normal
8,24249,ESTÁGIO CURRICULAR SUPERVISIONADO EM ADMINISTRAÇÃO II, ,80,-,-,-,-,-,-,4, ,Estágio (Prática)
8,28331,EXPERIÊNCIAS EM NEGÓCIOS,60, ,-,-,-,-,-,-,3, ,Normal
8,24255,OPTATIVA , ,120,-,-,-,-,-,-,6,100,Optativa
8,28335,PROJETOS INTERDISCIPLINARES: EXPERIÊNCIAS EM NEGÓCIOS, ,80,-,-,-,-,-,-,4, ,Normal
8,24224,TÓPICOS ESPECIAIS EM ADMINISTRAÇÃO,60, ,-,-,-,-,-,-,3, ,Normal
 , ,Atividades Complementares, ,200,-,-,-,-,-,-, , , 
 , ,Temas Transversais, ,40,-,-,-,-,-,-, , , 